occupation,race,sex,age,education,education-num,hours-per-week,class
Sales,White,Male,36,Assoc-acdm,12,60,>50K
Sales,White,Female,31,HS-grad,9,40,<=50K
Exec-managerial,White,Male,50,Assoc-acdm,12,60,<=50K
Craft-repair,Black,Male,38,HS-grad,9,40,<=50K
Prof-specialty,White,Male,35,Some-college,10,50,>50K
Prof-specialty,White,Male,45,Bachelors,13,40,>50K
Sales,White,Female,29,10th,6,40,<=50K
Craft-repair,White,Male,41,Some-college,10,46,>50K
Prof-specialty,White,Female,33,Prof-school,15,50,>50K
Other-service,White,Female,49,Some-college,10,60,<=50K
Exec-managerial,White,Male,28,Some-college,10,40,>50K
Protective-serv,Black,Male,49,Bachelors,13,40,>50K
Machine-op-inspct,White,Female,27,HS-grad,9,40,<=50K
Exec-managerial,White,Male,47,HS-grad,9,32,<=50K
Exec-managerial,White,Female,42,Doctorate,16,40,>50K
Exec-managerial,White,Male,30,HS-grad,9,60,<=50K
Craft-repair,White,Male,37,HS-grad,9,40,<=50K
Prof-specialty,White,Female,37,Doctorate,16,35,<=50K
Sales,Black,Female,51,HS-grad,9,38,<=50K
Other-service,White,Male,27,HS-grad,9,40,<=50K
Sales,White,Female,53,HS-grad,9,40,<=50K
Craft-repair,White,Male,45,HS-grad,9,40,<=50K
Prof-specialty,White,Male,37,Bachelors,13,45,<=50K
Prof-specialty,White,Female,40,Bachelors,13,40,<=50K
Prof-specialty,Asian-Pac-Islander,Male,54,Masters,14,40,>50K
Exec-managerial,White,Male,47,HS-grad,9,42,>50K
Other-service,White,Male,35,HS-grad,9,40,>50K
Machine-op-inspct,White,Male,33,HS-grad,9,40,<=50K
Adm-clerical,Black,Male,28,Some-college,10,40,<=50K
Exec-managerial,White,Female,39,Bachelors,13,55,>50K
?,White,Male,25,HS-grad,9,40,<=50K
Sales,White,Male,33,Bachelors,13,40,<=50K
Other-service,White,Female,34,11th,7,40,<=50K
Transport-moving,White,Male,53,HS-grad,9,40,>50K
Adm-clerical,White,Male,21,Assoc-acdm,12,35,<=50K
Exec-managerial,White,Male,31,Doctorate,16,55,>50K
Prof-specialty,White,Male,63,HS-grad,9,45,<=50K
Other-service,White,Male,21,Some-college,10,30,<=50K
Craft-repair,White,Male,59,HS-grad,9,40,>50K
Prof-specialty,Black,Female,50,1st-4th,2,40,<=50K
?,White,Female,66,HS-grad,9,20,<=50K
Transport-moving,White,Male,19,HS-grad,9,30,<=50K
Tech-support,White,Male,31,Bachelors,13,45,<=50K
Prof-specialty,White,Female,23,Bachelors,13,40,<=50K
Exec-managerial,White,Female,45,Assoc-voc,11,40,>50K
Prof-specialty,White,Male,35,Bachelors,13,40,<=50K
Craft-repair,White,Male,32,Bachelors,13,40,<=50K
Machine-op-inspct,White,Female,20,7th-8th,4,60,<=50K
Exec-managerial,White,Male,38,HS-grad,9,40,>50K
Other-service,Asian-Pac-Islander,Female,49,HS-grad,9,8,<=50K
Machine-op-inspct,White,Female,64,HS-grad,9,40,<=50K
Transport-moving,White,Male,60,11th,7,20,<=50K
Prof-specialty,White,Female,25,Bachelors,13,50,<=50K
Craft-repair,White,Male,21,HS-grad,9,35,<=50K
Priv-house-serv,White,Female,26,HS-grad,9,15,<=50K
Adm-clerical,White,Male,23,Some-college,10,20,<=50K
Sales,White,Male,67,Masters,14,48,>50K
Sales,White,Female,24,HS-grad,9,30,<=50K
Machine-op-inspct,White,Female,46,1st-4th,2,40,<=50K
Prof-specialty,Asian-Pac-Islander,Male,38,Doctorate,16,40,<=50K
Machine-op-inspct,White,Male,20,7th-8th,4,40,<=50K
?,White,Female,28,Some-college,10,40,<=50K
Prof-specialty,White,Male,26,Bachelors,13,48,<=50K
Machine-op-inspct,White,Male,58,HS-grad,9,40,<=50K
Other-service,Asian-Pac-Islander,Male,31,Some-college,10,40,<=50K
Protective-serv,Black,Male,37,Assoc-acdm,12,38,<=50K
Prof-specialty,White,Male,53,Doctorate,16,40,>50K
Machine-op-inspct,Black,Female,45,7th-8th,4,35,<=50K
Adm-clerical,White,Female,33,HS-grad,9,50,<=50K
Protective-serv,Black,Male,33,Masters,14,40,<=50K
Handlers-cleaners,White,Male,35,HS-grad,9,25,<=50K
Exec-managerial,Black,Male,60,HS-grad,9,40,<=50K
Sales,White,Female,21,Some-college,10,20,<=50K
Craft-repair,Black,Male,38,10th,6,45,<=50K
Craft-repair,White,Female,40,Assoc-voc,11,40,<=50K
Sales,White,Female,40,Some-college,10,40,>50K
Prof-specialty,White,Male,44,Prof-school,15,70,>50K
Exec-managerial,White,Male,27,Some-college,10,60,<=50K
Craft-repair,White,Male,34,Some-college,10,55,>50K
?,White,Male,20,Some-college,10,25,<=50K
Protective-serv,White,Male,49,Some-college,10,40,<=50K
Craft-repair,White,Male,37,Some-college,10,50,>50K
Transport-moving,White,Male,52,10th,6,30,>50K
Machine-op-inspct,Black,Male,46,Some-college,10,40,<=50K
Machine-op-inspct,Asian-Pac-Islander,Female,20,Some-college,10,40,<=50K
Craft-repair,White,Male,43,HS-grad,9,40,<=50K
Adm-clerical,White,Female,46,Bachelors,13,40,>50K
Other-service,White,Female,25,Some-college,10,15,<=50K
Adm-clerical,White,Male,48,Bachelors,13,40,<=50K
Protective-serv,White,Male,36,Some-college,10,55,<=50K
Craft-repair,White,Male,37,HS-grad,9,40,>50K
?,White,Male,18,Some-college,10,60,<=50K
Prof-specialty,White,Male,42,Masters,14,50,>50K
Adm-clerical,White,Male,60,Assoc-acdm,12,24,<=50K
Transport-moving,White,Male,37,Some-college,10,55,>50K
Tech-support,Black,Male,44,Assoc-acdm,12,40,<=50K
Craft-repair,White,Male,32,10th,6,40,<=50K
Adm-clerical,White,Female,29,Bachelors,13,40,<=50K
Prof-specialty,White,Male,42,Masters,14,35,>50K
Handlers-cleaners,White,Male,17,11th,7,12,<=50K
Other-service,White,Female,41,12th,8,10,<=50K
Exec-managerial,White,Female,34,Some-college,10,40,>50K
Other-service,White,Female,56,10th,6,32,<=50K
Adm-clerical,White,Male,28,Some-college,10,40,<=50K
Sales,White,Male,28,11th,7,40,<=50K
Transport-moving,White,Male,19,7th-8th,4,25,<=50K
Tech-support,White,Male,49,Some-college,10,40,>50K
Other-service,White,Female,36,Some-college,10,50,<=50K
Transport-moving,White,Male,25,Some-college,10,35,<=50K
Prof-specialty,White,Male,42,Bachelors,13,40,<=50K
Prof-specialty,White,Male,47,Prof-school,15,50,>50K
Protective-serv,White,Male,26,Some-college,10,40,<=50K
Exec-managerial,White,Male,35,Some-college,10,58,<=50K
Craft-repair,White,Male,37,HS-grad,9,45,<=50K
Protective-serv,Amer-Indian-Eskimo,Male,39,HS-grad,9,48,<=50K
Exec-managerial,White,Male,42,HS-grad,9,35,>50K
Other-service,White,Female,41,Some-college,10,36,>50K
Other-service,White,Female,23,Some-college,10,24,<=50K
Tech-support,White,Male,31,HS-grad,9,40,<=50K
Protective-serv,White,Male,36,Some-college,10,57,>50K
Prof-specialty,White,Female,20,Some-college,10,25,<=50K
Machine-op-inspct,White,Male,36,Some-college,10,45,<=50K
Machine-op-inspct,White,Male,50,HS-grad,9,50,>50K
Machine-op-inspct,White,Male,37,HS-grad,9,40,<=50K
Farming-fishing,White,Male,25,Bachelors,13,50,>50K
Other-service,White,Female,39,Some-college,10,60,<=50K
Farming-fishing,White,Female,32,HS-grad,9,40,<=50K
Adm-clerical,White,Female,59,Some-college,10,35,<=50K
Craft-repair,White,Male,29,Bachelors,13,45,<=50K
Transport-moving,Black,Male,50,HS-grad,9,40,<=50K
Sales,White,Male,42,Assoc-voc,11,37,<=50K
Prof-specialty,White,Male,32,Some-college,10,40,<=50K
Sales,White,Male,48,Assoc-acdm,12,40,>50K
Craft-repair,White,Male,20,HS-grad,9,35,<=50K
Craft-repair,White,Male,50,10th,6,45,<=50K
Craft-repair,White,Male,18,Some-college,10,30,<=50K
Prof-specialty,White,Male,60,Masters,14,50,<=50K
Prof-specialty,White,Male,60,Some-college,10,40,<=50K
Prof-specialty,White,Male,42,Masters,14,22,<=50K
Other-service,White,Female,49,HS-grad,9,35,<=50K
Sales,White,Female,35,Some-college,10,40,<=50K
Sales,White,Male,30,Assoc-acdm,12,60,<=50K
Exec-managerial,White,Male,59,Some-college,10,40,>50K
Other-service,Black,Male,24,HS-grad,9,50,>50K
Adm-clerical,White,Female,55,Assoc-acdm,12,40,<=50K
Adm-clerical,White,Female,19,HS-grad,9,20,<=50K
Craft-repair,White,Male,39,HS-grad,9,40,<=50K
Exec-managerial,White,Female,48,Some-college,10,40,<=50K
Prof-specialty,White,Male,44,Bachelors,13,40,>50K
Handlers-cleaners,White,Male,21,Some-college,10,30,<=50K
Tech-support,Black,Male,23,Bachelors,13,40,<=50K
Other-service,White,Male,22,Some-college,10,30,<=50K
Prof-specialty,White,Male,55,Masters,14,55,>50K
Sales,White,Female,19,Some-college,10,40,<=50K
Handlers-cleaners,White,Male,23,Some-college,10,25,<=50K
Transport-moving,White,Male,46,HS-grad,9,44,>50K
Adm-clerical,White,Female,23,Bachelors,13,23,<=50K
Exec-managerial,White,Male,47,Masters,14,50,>50K
Sales,White,Female,23,Some-college,10,15,<=50K
Other-service,White,Male,42,Some-college,10,40,>50K
Adm-clerical,White,Female,22,Bachelors,13,10,<=50K
Adm-clerical,White,Male,18,HS-grad,9,20,<=50K
Exec-managerial,White,Male,37,Bachelors,13,50,>50K
Craft-repair,White,Male,34,9th,5,50,<=50K
Other-service,White,Female,30,Assoc-acdm,12,40,<=50K
Farming-fishing,White,Female,62,Some-college,10,50,<=50K
Handlers-cleaners,White,Male,51,Some-college,10,40,<=50K
Other-service,Black,Male,34,HS-grad,9,30,<=50K
Prof-specialty,White,Male,28,Masters,14,40,<=50K
Handlers-cleaners,White,Male,56,10th,6,40,<=50K
Tech-support,White,Female,46,HS-grad,9,30,<=50K
Tech-support,White,Male,46,Some-college,10,45,>50K
Adm-clerical,White,Female,23,Some-college,10,40,<=50K
Adm-clerical,Black,Female,33,Bachelors,13,30,<=50K
Other-service,Asian-Pac-Islander,Male,27,HS-grad,9,40,<=50K
Adm-clerical,Black,Female,21,Some-college,10,20,<=50K
?,White,Male,18,HS-grad,9,60,<=50K
Machine-op-inspct,White,Male,36,5th-6th,3,40,>50K
Prof-specialty,White,Female,37,Bachelors,13,36,<=50K
Other-service,White,Male,39,11th,7,40,<=50K
Transport-moving,White,Male,36,HS-grad,9,60,>50K
Craft-repair,White,Male,24,Assoc-acdm,12,40,<=50K
Exec-managerial,Black,Female,26,Assoc-acdm,12,40,<=50K
Sales,White,Female,37,HS-grad,9,60,<=50K
Craft-repair,White,Male,34,HS-grad,9,50,<=50K
Exec-managerial,White,Female,33,HS-grad,9,40,<=50K
Protective-serv,White,Male,33,HS-grad,9,30,<=50K
Sales,White,Female,20,HS-grad,9,8,<=50K
Adm-clerical,White,Female,26,Some-college,10,38,<=50K
Adm-clerical,White,Female,47,HS-grad,9,20,>50K
Sales,White,Female,17,11th,7,20,<=50K
Exec-managerial,White,Male,53,Assoc-voc,11,40,<=50K
Sales,White,Female,31,Some-college,10,35,<=50K
Machine-op-inspct,White,Male,34,11th,7,40,<=50K
Other-service,White,Male,23,5th-6th,3,40,<=50K
Craft-repair,White,Male,39,Bachelors,13,45,>50K
?,White,Female,22,HS-grad,9,40,<=50K
Adm-clerical,White,Female,21,Some-college,10,20,<=50K
Adm-clerical,Black,Female,40,HS-grad,9,35,<=50K
Adm-clerical,White,Male,54,Masters,14,40,>50K
Prof-specialty,Asian-Pac-Islander,Male,32,Bachelors,13,40,<=50K
Other-service,White,Female,29,HS-grad,9,40,<=50K
?,Black,Female,68,Some-college,10,40,<=50K
Protective-serv,White,Male,27,Bachelors,13,45,>50K
Exec-managerial,White,Male,54,Some-college,10,40,>50K
Priv-house-serv,White,Female,23,HS-grad,9,40,<=50K
Exec-managerial,White,Male,38,Masters,14,48,>50K
Other-service,White,Female,54,HS-grad,9,35,<=50K
Prof-specialty,Asian-Pac-Islander,Male,21,Some-college,10,40,<=50K
Prof-specialty,White,Male,40,Assoc-voc,11,42,<=50K
Other-service,White,Female,19,10th,6,40,<=50K
?,White,Male,21,HS-grad,9,60,<=50K
Adm-clerical,Black,Female,35,Bachelors,13,40,<=50K
Adm-clerical,White,Female,39,Some-college,10,45,<=50K
Other-service,White,Male,38,HS-grad,9,40,<=50K
Handlers-cleaners,White,Male,41,12th,8,40,>50K
Adm-clerical,White,Female,26,Some-college,10,40,<=50K
Other-service,White,Female,35,HS-grad,9,45,<=50K
Craft-repair,White,Male,70,Some-college,10,25,<=50K
Sales,White,Male,45,10th,6,40,<=50K
Protective-serv,White,Male,83,HS-grad,9,55,<=50K
Other-service,White,Female,59,HS-grad,9,40,<=50K
Other-service,Black,Male,18,9th,5,15,<=50K
Adm-clerical,White,Male,31,HS-grad,9,40,<=50K
Prof-specialty,White,Female,43,Masters,14,45,>50K
Prof-specialty,White,Female,24,Bachelors,13,40,<=50K
Machine-op-inspct,White,Male,33,Assoc-voc,11,50,<=50K
Prof-specialty,White,Female,48,Masters,14,52,<=50K
Exec-managerial,White,Male,27,Bachelors,13,40,<=50K
Craft-repair,White,Male,41,HS-grad,9,40,<=50K
Other-service,White,Female,25,HS-grad,9,25,<=50K
Transport-moving,White,Male,53,HS-grad,9,40,>50K
Prof-specialty,White,Male,66,Prof-school,15,50,<=50K
Craft-repair,White,Male,31,Some-college,10,40,>50K
Adm-clerical,White,Male,30,Bachelors,13,40,<=50K
Transport-moving,White,Male,22,HS-grad,9,40,<=50K
Sales,White,Male,47,Bachelors,13,60,>50K
Exec-managerial,White,Male,74,HS-grad,9,40,>50K
Adm-clerical,Black,Male,37,Some-college,10,70,>50K
Farming-fishing,White,Male,35,Some-college,10,60,<=50K
Exec-managerial,White,Male,51,Bachelors,13,70,<=50K
Other-service,White,Female,40,Some-college,10,40,<=50K
Prof-specialty,White,Male,51,Doctorate,16,40,>50K
Handlers-cleaners,White,Female,26,10th,6,40,<=50K
Adm-clerical,Black,Female,53,Assoc-acdm,12,40,<=50K
Craft-repair,White,Male,32,HS-grad,9,40,<=50K
Craft-repair,Asian-Pac-Islander,Male,29,Some-college,10,40,<=50K
Adm-clerical,White,Male,42,HS-grad,9,40,<=50K
Transport-moving,White,Male,22,Some-college,10,32,<=50K
?,White,Male,62,HS-grad,9,24,<=50K
Adm-clerical,White,Female,33,HS-grad,9,40,<=50K
Transport-moving,Black,Male,21,HS-grad,9,20,<=50K
Prof-specialty,White,Male,46,Bachelors,13,45,>50K
Handlers-cleaners,White,Male,25,11th,7,40,<=50K
Other-service,White,Male,29,5th-6th,3,40,<=50K
Prof-specialty,White,Male,29,Bachelors,13,48,<=50K
Sales,White,Male,33,Doctorate,16,60,>50K
Craft-repair,White,Male,50,Assoc-acdm,12,40,<=50K
Adm-clerical,Amer-Indian-Eskimo,Female,22,HS-grad,9,40,<=50K
Craft-repair,White,Male,40,HS-grad,9,40,<=50K
Machine-op-inspct,Amer-Indian-Eskimo,Male,28,HS-grad,9,45,<=50K
Adm-clerical,White,Male,54,HS-grad,9,40,<=50K
Craft-repair,White,Male,29,HS-grad,9,40,<=50K
Machine-op-inspct,Black,Female,49,HS-grad,9,40,<=50K
Other-service,White,Female,46,11th,7,27,<=50K
Craft-repair,White,Male,71,10th,6,8,<=50K
Farming-fishing,White,Male,27,Some-college,10,80,<=50K
Adm-clerical,White,Female,56,HS-grad,9,40,<=50K
Tech-support,Asian-Pac-Islander,Male,64,HS-grad,9,60,>50K
Exec-managerial,White,Female,23,Some-college,10,25,<=50K
Prof-specialty,White,Male,36,Bachelors,13,40,>50K
Prof-specialty,White,Male,39,Masters,14,45,>50K
Exec-managerial,White,Male,26,HS-grad,9,40,<=50K
Tech-support,White,Male,31,Assoc-acdm,12,40,<=50K
Adm-clerical,White,Female,36,Bachelors,13,40,<=50K
Craft-repair,White,Male,43,HS-grad,9,40,>50K
Adm-clerical,White,Female,25,Some-college,10,50,<=50K
Machine-op-inspct,White,Male,27,HS-grad,9,40,<=50K
Sales,White,Male,24,12th,8,40,<=50K
Protective-serv,White,Male,50,Assoc-acdm,12,20,<=50K
Craft-repair,White,Male,30,HS-grad,9,40,<=50K
Handlers-cleaners,White,Male,24,11th,7,40,<=50K
Prof-specialty,White,Female,41,Masters,14,36,>50K
Exec-managerial,White,Male,29,Some-college,10,45,<=50K
Exec-managerial,White,Male,31,Some-college,10,40,<=50K
Exec-managerial,White,Female,54,Some-college,10,40,<=50K
Sales,White,Female,20,11th,7,50,<=50K
Other-service,White,Male,37,HS-grad,9,40,<=50K
Other-service,Black,Male,28,HS-grad,9,30,<=50K
Adm-clerical,White,Female,39,HS-grad,9,40,>50K
Exec-managerial,White,Female,46,Some-college,10,40,<=50K
Exec-managerial,White,Female,35,Bachelors,13,42,<=50K
Sales,White,Male,36,Some-college,10,20,>50K
?,White,Male,34,HS-grad,9,25,<=50K
Exec-managerial,White,Male,44,Masters,14,40,>50K
Exec-managerial,White,Male,34,Bachelors,13,50,<=50K
Sales,White,Male,28,HS-grad,9,50,>50K
Prof-specialty,White,Male,38,Prof-school,15,45,>50K
?,White,Male,64,Bachelors,13,50,>50K
?,White,Female,19,Some-college,10,40,<=50K
Sales,White,Male,35,Bachelors,13,52,>50K
Adm-clerical,White,Female,61,HS-grad,9,40,<=50K
Sales,White,Female,45,Some-college,10,40,<=50K
Transport-moving,White,Male,36,HS-grad,9,40,<=50K
Transport-moving,Black,Male,34,HS-grad,9,30,<=50K
Sales,White,Male,27,Assoc-voc,11,60,<=50K
Craft-repair,White,Male,22,10th,6,40,<=50K
Tech-support,White,Female,26,Bachelors,13,40,<=50K
Other-service,White,Female,19,11th,7,15,<=50K
Farming-fishing,White,Male,36,HS-grad,9,40,<=50K
Exec-managerial,White,Male,51,Bachelors,13,50,>50K
Craft-repair,White,Male,63,HS-grad,9,40,>50K
Adm-clerical,White,Male,51,HS-grad,9,40,<=50K
Adm-clerical,White,Female,20,Some-college,10,25,<=50K
Prof-specialty,White,Male,42,Assoc-voc,11,50,<=50K
?,White,Female,40,Bachelors,13,40,<=50K
Craft-repair,White,Male,25,Some-college,10,40,<=50K
Adm-clerical,White,Female,40,Assoc-voc,11,50,<=50K
?,White,Female,41,Bachelors,13,30,>50K
Handlers-cleaners,White,Male,49,HS-grad,9,80,<=50K
Machine-op-inspct,Black,Female,46,HS-grad,9,40,<=50K
Sales,White,Male,32,HS-grad,9,50,<=50K
Handlers-cleaners,Black,Male,28,Some-college,10,40,<=50K
?,Black,Male,19,HS-grad,9,20,<=50K
Adm-clerical,White,Female,19,HS-grad,9,25,<=50K
Adm-clerical,Black,Male,18,11th,7,20,<=50K
Sales,White,Male,39,HS-grad,9,55,<=50K
Prof-specialty,White,Female,60,Bachelors,13,30,<=50K
Prof-specialty,White,Female,46,Bachelors,13,40,<=50K
Machine-op-inspct,White,Female,38,7th-8th,4,50,>50K
Machine-op-inspct,White,Male,36,HS-grad,9,44,>50K
Sales,White,Male,45,Some-college,10,40,<=50K
Prof-specialty,White,Female,60,Bachelors,13,40,<=50K
Craft-repair,White,Male,30,11th,7,40,<=50K
Tech-support,White,Female,22,Some-college,10,43,<=50K
Exec-managerial,White,Male,23,Some-college,10,45,<=50K
Prof-specialty,Black,Female,48,Some-college,10,24,<=50K
Other-service,White,Female,46,HS-grad,9,15,<=50K
Exec-managerial,White,Male,43,Masters,14,45,>50K
Transport-moving,Other,Male,25,HS-grad,9,40,<=50K
Prof-specialty,White,Male,50,Some-college,10,40,<=50K
Sales,White,Male,61,HS-grad,9,55,<=50K
Sales,White,Male,35,Bachelors,13,50,<=50K
Exec-managerial,White,Female,65,Some-college,10,40,<=50K
Transport-moving,Asian-Pac-Islander,Male,56,HS-grad,9,45,<=50K
Machine-op-inspct,Asian-Pac-Islander,Female,43,Bachelors,13,80,<=50K
Transport-moving,White,Male,55,HS-grad,9,50,<=50K
Adm-clerical,White,Female,22,Some-college,10,40,<=50K
Machine-op-inspct,White,Male,40,Some-college,10,32,<=50K
Farming-fishing,White,Male,35,HS-grad,9,50,<=50K
?,White,Male,22,Some-college,10,50,<=50K
Machine-op-inspct,White,Male,20,9th,5,40,<=50K
Other-service,White,Male,46,12th,8,35,>50K
Transport-moving,White,Male,43,HS-grad,9,40,<=50K
Adm-clerical,Black,Female,46,HS-grad,9,40,<=50K
Other-service,Black,Male,39,11th,7,37,<=50K
Exec-managerial,White,Female,34,HS-grad,9,20,<=50K
Other-service,White,Female,35,HS-grad,9,35,<=50K
Adm-clerical,White,Male,30,HS-grad,9,41,<=50K
Machine-op-inspct,Black,Male,25,HS-grad,9,28,<=50K
Exec-managerial,White,Male,44,Masters,14,35,>50K
Adm-clerical,White,Female,35,HS-grad,9,40,<=50K
Handlers-cleaners,White,Male,41,HS-grad,9,40,<=50K
Adm-clerical,White,Male,43,Bachelors,13,40,>50K
Adm-clerical,White,Female,32,Some-college,10,40,<=50K
Craft-repair,White,Male,50,7th-8th,4,40,<=50K
Adm-clerical,White,Female,20,Some-college,10,15,<=50K
Adm-clerical,White,Female,29,HS-grad,9,20,<=50K
Prof-specialty,White,Male,38,Prof-school,15,70,>50K
Handlers-cleaners,White,Male,20,10th,6,50,<=50K
Sales,Black,Female,41,HS-grad,9,40,<=50K
Exec-managerial,White,Female,27,Some-college,10,65,<=50K
Craft-repair,White,Male,37,9th,5,40,<=50K
Prof-specialty,White,Female,62,Masters,14,24,<=50K
Other-service,White,Male,31,10th,6,40,<=50K
Adm-clerical,Asian-Pac-Islander,Female,49,Some-college,10,40,<=50K
Prof-specialty,Black,Female,33,Bachelors,13,50,<=50K
Craft-repair,White,Male,31,HS-grad,9,40,>50K
Other-service,White,Female,19,Some-college,10,35,<=50K
Machine-op-inspct,White,Male,44,7th-8th,4,40,<=50K
Exec-managerial,White,Male,31,Some-college,10,65,>50K
Farming-fishing,White,Female,62,HS-grad,9,40,<=50K
Exec-managerial,White,Male,65,Some-college,10,10,>50K
Other-service,White,Male,17,9th,5,40,<=50K
Transport-moving,White,Male,60,HS-grad,9,44,>50K
Craft-repair,White,Male,31,11th,7,40,<=50K
Other-service,Black,Female,29,Some-college,10,40,<=50K
Machine-op-inspct,White,Male,53,HS-grad,9,40,>50K
Sales,White,Male,44,Some-college,10,40,>50K
Sales,White,Male,43,11th,7,60,<=50K
Craft-repair,White,Male,40,Some-college,10,40,<=50K
Sales,Black,Female,18,11th,7,10,<=50K
Craft-repair,White,Female,47,HS-grad,9,43,<=50K
Prof-specialty,White,Male,38,Bachelors,13,40,<=50K
Other-service,White,Female,37,Assoc-acdm,12,25,<=50K
Sales,Amer-Indian-Eskimo,Female,40,Some-college,10,40,<=50K
Prof-specialty,Black,Male,57,HS-grad,9,60,>50K
Other-service,White,Female,43,HS-grad,9,40,<=50K
Prof-specialty,Other,Male,32,Bachelors,13,40,<=50K
Sales,White,Male,64,Some-college,10,40,<=50K
Sales,White,Female,18,12th,8,20,<=50K
Exec-managerial,White,Male,40,Bachelors,13,50,<=50K
?,Black,Female,17,11th,7,40,<=50K
Machine-op-inspct,White,Male,23,HS-grad,9,40,<=50K
Adm-clerical,Black,Female,45,Assoc-voc,11,40,<=50K
Prof-specialty,White,Female,45,Masters,14,15,<=50K
Other-service,White,Male,27,10th,6,60,<=50K
Handlers-cleaners,White,Male,23,Some-college,10,40,<=50K
Farming-fishing,Asian-Pac-Islander,Male,58,HS-grad,9,30,<=50K
Tech-support,White,Female,35,HS-grad,9,75,<=50K
Prof-specialty,White,Male,47,Masters,14,40,>50K
Exec-managerial,White,Male,33,HS-grad,9,50,<=50K
Prof-specialty,Asian-Pac-Islander,Male,27,Bachelors,13,40,>50K
Machine-op-inspct,White,Male,46,Assoc-acdm,12,40,>50K
Craft-repair,White,Male,24,Some-college,10,56,<=50K
Craft-repair,White,Male,40,Some-college,10,44,>50K
Other-service,White,Female,44,HS-grad,9,24,<=50K
Protective-serv,White,Male,31,Bachelors,13,97,>50K
Adm-clerical,White,Male,37,Assoc-voc,11,40,>50K
Exec-managerial,White,Female,23,Assoc-voc,11,40,<=50K
Sales,White,Male,30,Bachelors,13,52,>50K
Other-service,Black,Male,31,Some-college,10,35,<=50K
?,White,Female,24,HS-grad,9,32,<=50K
Exec-managerial,White,Male,32,Some-college,10,40,<=50K
Transport-moving,White,Male,27,HS-grad,9,40,<=50K
Adm-clerical,Amer-Indian-Eskimo,Male,35,HS-grad,9,55,<=50K
Exec-managerial,White,Male,27,Bachelors,13,40,<=50K
Sales,White,Male,30,Bachelors,13,70,<=50K
Farming-fishing,White,Male,33,HS-grad,9,70,<=50K
Prof-specialty,White,Male,34,Doctorate,16,45,>50K
Craft-repair,White,Male,29,Some-college,10,50,<=50K
Prof-specialty,White,Female,26,Masters,14,40,<=50K
Craft-repair,White,Male,39,HS-grad,9,40,<=50K
Exec-managerial,White,Male,37,Some-college,10,50,>50K
Exec-managerial,White,Female,51,Some-college,10,50,>50K
Craft-repair,White,Male,40,Some-college,10,47,>50K
Craft-repair,Asian-Pac-Islander,Male,53,7th-8th,4,40,<=50K
Tech-support,Asian-Pac-Islander,Male,58,Some-college,10,40,>50K
Tech-support,White,Male,29,Bachelors,13,40,>50K
Machine-op-inspct,Other,Male,33,HS-grad,9,40,<=50K
Exec-managerial,White,Male,57,Masters,14,60,>50K
Protective-serv,White,Male,69,HS-grad,9,40,<=50K
Adm-clerical,White,Female,20,Some-college,10,12,<=50K
Sales,White,Female,56,HS-grad,9,25,<=50K
Craft-repair,White,Male,49,5th-6th,3,40,<=50K
Machine-op-inspct,White,Male,34,HS-grad,9,40,<=50K
Craft-repair,White,Male,70,HS-grad,9,37,<=50K
Exec-managerial,White,Female,44,Bachelors,13,45,<=50K
Prof-specialty,White,Male,37,Bachelors,13,40,>50K
Prof-specialty,White,Male,58,Bachelors,13,58,<=50K
Prof-specialty,White,Female,42,Some-college,10,25,<=50K
Sales,White,Male,41,HS-grad,9,40,<=50K
Adm-clerical,White,Female,28,HS-grad,9,40,<=50K
Prof-specialty,White,Male,47,Masters,14,60,>50K
Machine-op-inspct,White,Female,24,HS-grad,9,40,<=50K
Other-service,White,Male,58,HS-grad,9,55,>50K
Adm-clerical,White,Female,18,HS-grad,9,25,<=50K
Exec-managerial,White,Male,50,Some-college,10,50,>50K
Adm-clerical,White,Female,69,Some-college,10,24,<=50K
Prof-specialty,White,Male,84,Masters,14,66,<=50K
Exec-managerial,White,Male,47,Bachelors,13,60,>50K
Handlers-cleaners,White,Male,19,12th,8,20,<=50K
Prof-specialty,Black,Male,24,Some-college,10,40,<=50K
?,White,Male,48,Bachelors,13,6,<=50K
Machine-op-inspct,White,Male,53,HS-grad,9,50,<=50K
Sales,White,Male,58,Some-college,10,45,<=50K
Handlers-cleaners,White,Male,22,Some-college,10,24,<=50K
Exec-managerial,White,Male,36,Some-college,10,52,<=50K
Adm-clerical,White,Female,34,12th,8,40,<=50K
Prof-specialty,White,Female,43,1st-4th,2,21,<=50K
Handlers-cleaners,White,Male,37,HS-grad,9,24,<=50K
Tech-support,White,Male,43,Prof-school,15,50,>50K
Tech-support,White,Female,42,Some-college,10,40,>50K
Other-service,White,Male,21,Some-college,10,30,<=50K
Sales,White,Male,49,HS-grad,9,60,<=50K
Other-service,Black,Male,35,HS-grad,9,40,<=50K
Craft-repair,White,Female,49,Some-college,10,30,<=50K
Other-service,Black,Male,28,Some-college,10,40,<=50K
Craft-repair,White,Male,51,1st-4th,2,40,<=50K
?,White,Female,30,Bachelors,13,40,<=50K
Other-service,White,Male,19,7th-8th,4,60,>50K
Other-service,White,Male,56,9th,5,40,<=50K
Other-service,White,Male,20,HS-grad,9,8,<=50K
Adm-clerical,White,Female,22,Some-college,10,37,<=50K
Machine-op-inspct,White,Male,33,HS-grad,9,56,>50K
