MeanAtomicMass,MeanAtomicValN,MeanAtomicMagnMom,MeanAtomicElNeg,MaxDiffAtomicMass,MaxDiffAtomicElNeg,T_c(K)
79.93,5.58,2.74,1.78,81.48,1.29,20
51.18,4.06,1.41,2.52,121.33,2.55,81.8
60.37,5.62,2.78,1.8,34.84,1.18,20.4
55.98,4.39,1.77,2.52,134.36,2.55,86.3
69.56,4.66,1.74,2.61,192.98,2.49,20.2
40.42,5.52,1.52,1.94,130.1,1.42,14.1
57.85,4.39,1.54,2.54,122.91,2.55,29
64.31,5.59,3.12,2.13,159.26,1.1,7
52.1,4.33,1.35,2.5,191.2,3.44,98.45
51.69,4.8,1.85,2.51,135.97,3.44,37.1
82.63,2.74,1.15,1.76,207.97,2.49,91
84.7,7.5,1.75,2.15,47.73,0.29,1.6
55.67,4.51,2.51,1.68,21.69,0.38,13.1
80.96,2.33,0.87,1.73,122.91,2.55,84
45.68,4.06,1.43,2.53,167.84,2.49,45
54.58,3.83,1.2,2.44,184.59,2.55,132.52
15.39,2.74,0.74,1.83,13.49,1.24,25.5
55.95,4.21,1.61,2.5,128.24,2.55,57.2
16.83,4.4,1.74,2.67,57.93,2.51,3.34
52.01,4.03,1.38,2.5,121.33,2.55,29
52.65,4.18,1.42,2.53,157.06,3.44,47
71.7,5.42,1.93,2.06,220.03,1.45,6.3
52.11,3.96,1.37,2.5,121.33,2.55,25
97.95,6.78,5.22,2.18,5.12,0.04,7.18
99.13,2.87,1.27,1.66,192.98,2.49,69
200.67,2,1,2.08,7.41,0.92,1.92
52.52,4.49,2.49,1.66,42.74,0.2,12
59.34,5.64,2.76,2.57,134.36,2.32,10
53.07,3.94,1.38,2.48,124.91,2.55,38.7
100.45,5.67,2.33,2.21,148.89,1.08,3.9
81.47,2.29,0.85,1.73,121.33,2.55,74.7
52.33,5.46,2.38,2.06,55.92,3.16,33.36
80.59,2.27,0.85,1.73,121.33,2.55,84.2
54.35,4.15,1.38,2.54,192.98,2.49,74
79.83,5.62,2.78,1.78,81.48,1.29,20
91.06,3.57,1.89,1.73,141.25,2.55,65
112.68,5.62,2.21,2.03,122.45,1.15,0.69
156.88,6.8,3.2,1.9,130.97,0.9,2.87
154.9,4.8,1.6,1.43,53.31,1.1,2.33
72.5,4.89,2.38,1.88,121.33,2.55,8.21
77.87,2.26,0.88,1.79,122.91,2.55,79.4
56.43,4.39,1.79,2.51,134.36,2.55,89.75
38.7,6.69,1.59,1.96,46.68,1.24,7.3
76.68,5.45,2.35,1.83,155.01,1.28,38
49.83,3.93,1.4,2.54,121.33,2.55,70
85.03,2.29,0.86,1.73,122.91,2.55,84
44.87,5.11,1.95,2.43,84.28,2.18,15
80.7,4.5,4,1.62,65.92,0.21,17.2
57.7,4.41,1.55,2.55,122.91,2.55,6
76.13,7.29,4.21,2.19,141.25,2.78,22
51.42,3.99,1.38,2.52,121.33,2.55,84.8
55.58,5.15,1.59,2.55,151.26,2.55,72
51.36,3.99,1.38,2.52,122.91,2.55,92.1
49.61,3.92,1.4,2.54,121.33,2.55,78
57.36,4.03,1.34,2.43,184.59,2.49,51
131.84,6.2,4.6,1.84,97.32,0.6,1.89
81.53,2.33,0.86,1.73,122.91,2.55,49.9
55.75,4.29,1.68,2.52,128.24,2.55,50
109.66,4.82,2.02,1.81,79.97,0.86,5.1
172.87,4.6,2.6,2,90.27,0.06,7
106.95,6.97,0.82,1.9,73.59,0.98,3.46
36.72,4.15,1.39,2.55,72.91,2.49,76
124.74,4.79,1.95,1.86,119.59,0.93,2.6
55.51,4.4,1.55,2.55,122.91,2.44,34
74.31,1.29,1,1.79,75.36,0.8,0.04
50.94,3.99,1.38,2.52,121.33,2.55,87
155.27,3,1,1.23,65.47,0.52,8.95
89.39,5.67,2.33,1.88,164.13,0.66,3.43
86.89,6.26,5.74,1.72,134.21,0.24,3.12
112.26,4.25,2.75,1.87,25.8,0.36,18
49.74,3.94,1.39,2.54,121.33,2.55,31.5
56.55,4.84,1.98,2.55,128.24,2.44,23
51.69,3.9,1.32,2.48,191.2,2.49,65
57.33,4.05,1.36,2.43,184.59,2.49,46
157.23,6.67,3.33,1.91,99.01,0.87,3
137.89,5.83,2.83,2,227.22,0.9,4.14
56.81,4.41,1.55,2.55,122.91,2.49,45.3
82.25,7.25,2.75,1.84,60.02,0.36,3.4
147.24,9.75,0.75,2,100.78,1.08,2.1
59.37,4.87,1.36,2.48,152.94,2.55,19
62.69,6,2.67,1.96,39.87,1.73,22
57.07,4.41,1.55,2.55,122.91,2.49,17.64
75.52,4.97,1.83,2.64,192.98,2.62,20
63.13,4.41,1.53,2.56,191.2,2.49,63.6
94.72,5.38,1.54,1.53,15.2,0.87,2.84
51.11,3.98,1.35,2.51,121.33,2.55,43
66.67,4.05,1.25,2.55,184.59,2.55,32.5
59,3.73,1.73,2.04,220.03,1.33,17
49.37,4.54,2.46,1.59,7.98,0.29,6.08
110.18,5.37,5,1.66,93.3,0.3,4.8
52.13,4.03,1.42,2.52,124.91,2.55,70
61.23,3.85,1.17,2.44,184.59,2.55,92
63.59,5.04,2.43,1.79,155.01,1.28,9.96
59.92,4.45,1.65,2.56,192.98,2.49,79.8
54.18,4.5,1.6,2.6,196.97,2.49,32
73.15,5.53,2.87,1.78,98.23,1.36,38
87.92,4.66,4.3,1.64,40.91,0.21,13.1
72.57,2.18,2.16,1.81,51.27,0.3,9.04
74.56,3.9,1.14,2.44,184.59,2.55,89.1
79.82,5.63,2.83,1.79,83.06,1.29,22.7
55.95,4.05,1.44,2.52,158.97,2.55,47
51.6,4,1.36,2.51,121.33,2.55,54.7
62.63,4.31,1.42,2.59,191.2,2.49,24
51.24,4.39,1.55,2.56,121.33,2.55,77.3
44.17,7.12,1.68,1.93,89.06,1.24,3.49
66.08,4.66,1.75,2.6,192.98,2.49,77.4
47.66,4.23,1.31,2.49,188.38,3.44,85.05
67.48,7.05,2.95,2.19,23.13,0.72,10
66.57,6,2.22,2.05,133.43,1.14,5.31
55.77,4.59,1.95,2.43,135.97,3.44,42
50.94,5,3.01,1.63,1.05,0.03,5.07
72.16,4.93,1.87,2.64,192.98,2.62,27.9
71.1,2.67,1.06,1.75,192.98,2.49,35.2
50.94,5,3.01,1.63,1.05,0.03,5.15
73.34,3.95,1.15,2.46,184.59,2.55,88
16.43,2.71,0.69,1.8,181.41,0.89,33.2
58.33,4.97,2.09,2.56,124.91,2.32,16
110.11,4.33,3,1.84,25.8,0.36,2.68
65.58,5.22,2.73,1.8,110.28,1.18,17.6
57.79,4.49,1.55,2.63,191.2,2.49,37.6
81.74,4.83,3.83,2.01,170.14,0.66,1.82
53.82,5.59,3.12,2.13,109.14,1.1,4.8
120.12,5.71,3.24,2.03,89.16,1.07,1.04
98.66,4.75,4.22,1.69,67.77,0.36,17.7
14.04,3.86,1.95,2.47,73.46,1.73,23
67.23,4.11,1.31,2.56,191.2,2.55,84.3
100.83,3.11,1.36,1.78,192.98,2.49,74
77.19,6.25,2.25,2.01,128.1,1.18,8
50.87,4.05,1.38,2.51,121.33,2.55,86
82.1,4.33,2,1.92,121.33,2.55,1.48
44.42,4.01,1.37,2.51,72.91,2.49,21
59.07,4.44,1.6,2.56,192.98,2.49,83.9
48.33,4.15,2.15,1.55,3.07,0.09,1.95
105.98,4.79,1.95,1.81,164.13,0.93,6.6
164.18,8.04,3.07,1.77,150.29,0.8,4.2
113.84,3.54,1.53,1.88,192.98,2.49,7
122.55,5,2.01,2.03,52.68,0.22,0.01
141.81,6.33,3,1.92,145.27,0.84,4.6
76.79,5.7,2.7,1.82,139.24,1.33,16.3
34.81,4.02,1.7,2.05,84.28,2.18,11
48.06,4.43,1.49,2.57,124.12,2.49,34
52.9,4.25,1.75,1.88,90.26,0.98,7.8
50.82,3.94,1.39,2.52,121.33,2.55,60
100.82,5.03,2,2.06,54.97,0.09,0.25
43.4,3.59,1.59,2.01,76.89,1.33,11.5
35.85,4.36,1.53,2.09,58.92,2.44,40
51.31,4.61,2.64,1.65,51.93,1.25,11.1
56.35,4.37,1.77,2.51,134.36,2.55,91.1
51.96,4.01,1.41,2.51,122.91,2.55,30
55.72,4.5,1.92,2.5,141.25,2.55,18
42.95,4.13,1.36,2.52,72.91,2.49,35
49.72,4,1.38,2.52,121.33,2.55,83
70.21,4.67,1.76,2.59,192.98,2.49,29.2
64.67,1.74,0.52,1.53,184.59,2.55,105.1
47.66,4,1.38,2.52,122.91,2.55,76.35
51.47,4.6,2.6,1.68,41.64,0.27,9.5
57.18,4.48,1.62,2.55,128.24,2.49,16.5
70.96,4.93,2.02,2.6,192.98,2.49,12.9
28.47,4.17,1.39,2.58,51.53,2.44,47
50.06,3.94,1.4,2.54,124.12,2.55,56.5
51.28,4.02,1.37,2.52,121.33,2.55,35.2
71.46,5.51,2.49,2.14,122.91,2.88,7
165.22,8.9,3.1,2.22,89.31,0.08,0.55
97.42,6.75,5.25,1.96,1.96,0.26,15.8
58.61,4.3,2.9,1.61,64.82,0.36,5
124.18,6.72,2.19,1.9,64.35,1.04,1.36
65.58,5,1.7,2.56,192.98,2.49,1.5
57.72,5,1.31,2.43,157.06,3.44,87.8
84.51,2.17,0.61,1.66,184.59,2.55,135
73.67,5.67,3,1.9,70.1,0.87,10.3
47.4,4.04,1.33,2.49,192.98,2.55,122
77.91,2.29,0.86,1.74,121.33,2.55,90
97.76,6.94,5,1.89,5,0.3,12.8
89.11,2.07,0.57,1.63,188.38,2.55,114
110.49,5,3,1.97,113.58,0.11,2.7
15.47,2.8,0.8,1.86,13.49,1.24,35.8
84.97,2.43,1,1.59,192.98,2.49,84
51.28,4.01,1.4,2.52,124.91,2.55,75.8
58.98,4.45,1.48,2.69,188.38,2.55,86
70.65,4.61,1.71,2.59,192.98,2.49,19
80.55,6.4,1.2,1.95,66.34,1.2,1.27
123.46,5.33,4.67,1.87,82.54,0.86,1
60.53,4.43,1.62,2.56,192.98,2.49,26.3
56.24,4.5,1.55,2.55,122.91,2.49,21
49.03,5.08,2.08,2.53,135.97,3.44,7
51.4,3.97,1.36,2.5,121.33,2.55,50
51.34,4.03,1.42,2.51,124.91,2.55,36.5
95.84,6,4.5,1.77,97.32,0.68,2.42
52.75,3.99,1.4,2.5,124.91,2.55,41.5
60.92,5.75,2.87,2.57,134.36,2.32,18.8
139.47,3.08,1.04,1.09,36.06,1.27,2.11
57.8,4.76,1.46,2.51,162.49,2.55,82.9
49.45,4.05,1.42,2.54,122.91,2.55,67
57.4,3.86,1.29,2.41,124.91,2.55,93.3
74.29,5.66,2.74,1.81,139.24,1.33,16
56.8,4.57,1.42,2.46,157.06,3.44,34.8
91.12,3.48,1.88,1.73,141.25,2.55,71
209.61,6,4.4,1.54,142.08,0.78,2.11
68.29,6.96,3.01,2.17,62.86,0.72,7
61.9,6.56,3.22,2.14,60.85,0.98,23.5
177.73,4.05,2.01,1.31,75.58,0.98,0.85
71.46,5.52,2.49,2.15,122.91,2.88,18
59.06,4.83,2.5,1.96,60.25,1.22,5.76
120.92,2.9,1.2,1.76,191.2,2.49,39.22
60.4,4.12,1.36,2.47,188.38,2.55,100
57.48,4.67,1.61,2.51,146.5,2.55,92.7
57.07,4.41,1.55,2.55,122.91,2.49,8.56
111.95,6,3.33,2.15,95.54,0.48,0.89
90.7,6.56,5.44,1.81,138.23,0.54,3.95
71.53,1.87,0.53,1.57,184.59,2.55,106.9
51.89,4,1.4,2.51,124.91,2.55,81
37.58,4.98,2.24,2.62,85.97,2.62,3.51
72.9,6.3,3.2,2.17,128.24,2.84,32.6
60.27,3.64,1.33,2.32,128.24,2.55,77
45.82,3.77,1.27,2.44,72.91,2.49,36.6
34.35,3.6,2.17,1.93,85.14,0.56,4.3
48.96,4.63,1.48,2.63,121.33,2.55,77.1
51.23,4.08,1.39,2.52,121.33,2.55,70.7
17.09,3.08,1.08,1.99,164.16,0.77,5.67
88.97,4.75,3.76,1.7,73.89,0.51,2.84
59.22,4.41,1.6,2.55,192.98,2.49,74
87.97,4.68,4.28,1.64,37.97,0.26,7.79
57.78,4.43,1.57,2.55,122.91,2.34,45
61.1,4.36,1.57,2.56,192.98,2.49,97.5
57.2,4.48,1.54,2.63,191.2,2.49,37.8
55.52,4.24,1.61,2.51,128.24,2.55,25
102.39,8.03,3.97,2.2,94.01,0.08,0.43
55.04,4.15,1.6,2.51,128.24,2.55,66
160.02,8.53,3.47,2.23,89.31,0.08,0.55
205.03,7.1,2.9,1.9,41.81,0.9,2.36
54.95,4.13,1.58,2.51,128.24,2.55,41
74.45,5.68,2.98,1.91,71.93,0.95,9.3
69.33,4.32,1.43,2.52,188.38,2.55,39.6
15.43,2.77,0.77,1.85,13.49,1.24,36.4
176.36,7.67,1.67,1.89,56.18,1.18,0.46
184.88,6.48,4.48,1.8,7.72,0.6,4.3
68.99,5.53,2.48,2.16,122.91,2.88,32
54.93,4.39,1.82,2.45,135.97,3.44,45
60.79,4.51,1.71,2.55,192.98,2.49,86.1
63.09,5.56,1.48,1.71,58.55,0.66,1.66
97.98,4.73,4.23,1.68,91.73,0.36,18
123.31,6.71,1.91,1.74,70.15,2.28,8.6
91.19,5.26,2.06,2.36,216.04,2.34,2.04
64.56,5.6,2.8,1.8,56.65,1.24,33.9
39.02,4.79,1.95,1.75,30.85,0.54,5
47.26,4.78,1.36,2.52,152.94,2.49,40
84.55,5.6,3.2,2.17,13.94,0.95,2.3
90.89,3.84,1.84,2.05,220.03,1.28,11.6
44.5,3.98,1.39,2.49,72.91,2.49,16
64.94,4.62,1.75,2.81,191.2,2.34,18.1
49.35,4.75,1.81,2.45,142.93,3.44,37
90.06,4.89,4.72,1.63,65.92,0.41,19.8
87.83,4.72,4.32,1.63,37.97,0.26,7.1
196.08,4.75,2.75,1.46,139.81,0.17,1.54
165.09,4.78,2.75,1.61,122.01,0.46,4
69.87,4.63,1.71,2.62,192.98,2.49,28
91.66,7.59,2.53,2.41,23.93,0.27,6
201.28,5.33,1.33,1.84,9.3,0.66,1.58
56.8,4.42,1.56,2.55,122.91,2.49,11.6
51.3,4.04,1.39,2.52,121.33,2.55,74.4
99.75,3.04,1.29,1.78,192.98,2.49,88
150.5,5.38,1.78,2.22,69.37,0.44,4.1
87.45,4,2,1.72,211.05,0.63,1.6
168.56,3.64,1.64,1.56,70.07,1.23,2.4
55.41,4.42,1.8,2.52,141.25,2.55,71.5
80.67,6.4,2,1.81,106.35,1.3,0.63
58.69,3.9,1.21,2.45,184.59,2.55,124
56.18,4.2,1.61,2.5,128.24,2.55,63
82.2,2.31,0.89,1.73,124.91,2.55,85.1
56.55,4.4,1.6,2.54,188.38,2.49,48
49.38,4.18,1.46,2.59,124.91,2.55,64.4
72.8,5.39,2.46,1.82,155.01,1.28,22.2
55.89,4.46,1.55,2.55,122.91,2.49,34
68.99,5.52,2.48,2.16,122.91,2.88,4.7
54.14,4.48,1.58,2.61,196.97,2.49,41
56.35,4.41,1.56,2.55,122.91,2.44,23
30.73,4.26,2.4,2.35,91.9,2.46,5.5
72.84,4.8,1.6,1.78,28.93,1.06,0.46
46.58,4.72,2.72,1.69,41.64,0.27,13.3
72.47,5.47,2.54,1.82,155.01,1.28,26.2
125.14,4.86,2.03,1.91,72.06,1.01,4
206.21,3.7,1.7,2.28,6.61,0.33,6.75
51.88,3.96,1.37,2.5,121.33,2.55,86.2
124.07,3.87,1.87,1.75,38.54,0.86,4.64
57.42,4.84,1.46,2.52,151.26,2.55,90.9
79.9,5.69,2.71,1.79,81.48,1.29,3.4
99.27,6,3.2,1.92,209.94,0.82,1.53
76.47,4.28,1.37,2.51,188.38,2.55,62
56.78,4.4,1.54,2.54,122.91,2.49,22
54.34,4.76,1.46,2.51,151.26,2.55,81
57.53,6,2.33,2.05,105.27,1.69,17
60.75,3.87,1.18,2.45,184.59,2.55,127
86.2,2.94,1.51,1.72,141.25,2.55,79
82.39,4.8,1.2,1.84,33.79,1.25,1.5
88.41,5,4.5,1.75,17.98,0.58,6.5
83.36,5.67,3,2.29,170.21,1.9,5.74
63.73,4.75,1.55,1.93,164.16,1.28,2.6
51.35,4.03,1.38,2.5,121.33,2.55,87
80.49,5.88,2.8,1.76,117.21,2.18,20
78.57,4.83,1.63,2.7,192.98,2.55,7.6
112.3,7.13,2.73,2.29,176.92,0.56,2.1
158.07,4.75,2.75,1.46,89.72,0.17,7.1
48.39,3.83,1.83,1.64,185.28,1.22,3.8
53.38,4.5,3.5,2.1,85.14,0.12,0.5
140.65,7.36,1.76,1.98,167,1.33,7.8
72.03,3.89,1.15,2.43,184.59,2.55,94.3
79.92,5.65,2.75,1.78,81.48,1.29,5.1
99.22,2.77,1.17,1.68,192.98,2.49,73.5
95.65,4.79,1.95,1.8,164.13,1.01,5.66
55.93,4.43,1.79,2.52,134.36,2.55,68
53.53,5.25,1.75,2.03,126.89,1.45,2.08
65.28,5,2.2,2.05,105.27,1.69,1.89
50.71,4.1,1.44,2.55,124.91,2.55,62.9
88.97,6.89,2,2.04,181.41,1.04,7.37
109.14,4.7,1.7,1.83,61.94,1.45,0.03
41.7,5.67,1.68,1.94,146.44,1.35,10.6
56.25,4.19,1.6,2.5,128.24,2.55,35.9
51.39,4.03,1.39,2.52,121.33,2.55,85
71.5,5.53,2.47,2.14,122.91,2.34,14
55.44,4.21,1.59,2.52,216.04,2.55,81.8
51.89,3.89,1.36,2.48,136.32,2.55,47.9
93.82,5.3,5.3,1.77,3.04,0.56,2.67
94.68,5.67,1.89,2.03,181.41,1.06,3.09
74.6,5.52,2.59,1.82,155.01,1.28,28.1
52.23,3.95,1.36,2.49,121.33,2.55,18.9
62.89,5.85,2.54,2,55.98,1.73,20
150.73,6.8,4,2.3,82.77,0.16,5
56.98,4.98,1.29,2.41,157.06,3.44,60
16.79,4.43,1.74,2.69,57.93,2.51,3.51
37.48,3.34,1.34,1.8,80.41,0.71,6.4
82.9,7.4,4.33,2.21,141.25,2.24,25
56.81,4.41,1.55,2.55,122.91,2.49,10.4
65.05,2.81,1.4,1.74,112.03,0.78,0.6
49.68,3.93,1.4,2.54,121.33,2.55,79.4
51.3,4.02,1.38,2.52,121.33,2.55,55.1
54.2,4.03,1.41,2.52,122.91,2.55,41.9
51.8,3.97,1.37,2.51,121.33,2.55,60
31.57,2.87,0.87,1.46,13.1,0.9,4.6
50.09,5.05,2.2,2.5,135.97,3.44,18
137.39,8.4,1.6,2.26,77.42,0.16,1.29
119.53,3.1,1.1,1.79,94.16,0.24,4.65
42.9,4,1.16,2.52,121.33,3.09,70
181.41,5.16,3.16,1.64,2.89,0.86,1.86
81.37,3.3,1.01,1.77,191.2,2.49,58.8
52.44,7.08,1.82,1.95,154.12,1.45,6.62
72.14,3.92,1.15,2.44,184.59,2.55,94.5
100.45,4.79,1.95,1.83,180.21,1.28,3.74
45.11,5.14,1.96,2.44,84.28,2.18,15
59.78,4.57,1.67,2.59,192.98,2.49,17.9
116.32,3.78,1.78,2.06,192.98,2.49,20
102.24,5.2,5,1.63,93.3,0.3,4.5
57.37,3.88,1.21,2.45,184.59,2.49,54
47.9,5.41,3.06,2.27,89.01,1.6,3.7
31.79,3.07,1.07,1.52,13.1,0.9,4.05
18.45,2.93,0.93,1.83,37.06,0.73,37.5
58.46,4.98,2.1,2.56,124.91,2.32,14.1
80.13,4.31,2.02,1.92,121.33,2.62,6.1
38.59,4.05,1.34,2.56,71.62,2.49,83
56.81,4.41,1.55,2.55,122.91,2.49,22.1
49.79,4.15,1.38,2.53,192.98,2.49,27.5
79.16,3.79,1.5,1.76,146.5,2.49,31.9
86.69,2.13,0.75,1.67,188.38,2.49,106.5
80.06,5.55,2.69,1.78,81.48,1.29,8.77
55.99,4.21,1.61,2.5,128.24,2.55,93
91.25,3.3,1.84,1.73,141.25,2.55,53.6
67.77,4.65,1.73,2.6,192.98,2.49,14
49.46,3.93,1.4,2.55,121.33,2.55,69
79.5,4.28,2.05,1.91,121.33,2.62,5.93
57.11,4.58,1.72,2.55,128.24,2.49,22.5
174.58,9.08,2.92,2.22,92.18,0.08,0.03
69.69,5.87,3.67,2.36,176.92,0.96,6.41
57.06,4.37,1.6,2.56,192.98,2.49,74.3
50.32,3.97,1.39,2.54,121.33,2.55,89
50.53,4.69,1.57,2.6,124.12,2.49,55
98,4.75,4.25,1.69,90.62,0.36,17.8
56.2,4.38,1.77,2.51,134.36,2.55,88.1
81.27,5.7,2.36,2.21,148.89,1.08,3
140.67,3,1,1.11,36.06,0.17,4.37
57.34,4.95,1.49,2.52,151.26,2.55,23
51.32,4.69,2.64,1.65,51.93,1.25,14
36.68,4.8,1.6,2.56,71.62,2.49,0.18
78.64,4.79,1.95,1.78,164.13,0.98,3.1
58.05,4.94,1.48,2.5,151.26,2.55,34
145.29,5.55,2.26,1.79,150.29,0.8,4.1
91.15,3.34,1.89,1.73,141.25,2.55,86.3
88.24,2.78,1.49,1.59,141.25,2.55,56
47.13,4.27,1.5,2.52,121.33,2.55,58.5
41.85,3.75,1.75,1.77,109.24,1.01,6
41.74,4.58,1.51,2.52,72.91,2.49,34
79.81,5.63,2.77,1.78,81.48,1.29,13.7
55.66,4.35,1.54,2.54,137.9,2.49,35.5
66.37,6.97,3.19,2.13,24.03,1,11.1
42.95,5.8,1.8,1.94,146.44,1.35,5.93
96.98,3.12,1.28,1.77,192.98,2.49,58
89.19,5.67,2.36,2.69,192.98,1.56,5.23
61.87,4.12,1.49,2.56,191.2,2.49,47
74.59,2.33,0.83,1.75,222.03,2.55,114
58.7,5.9,2.44,3.13,167.84,3.16,3.6
62.61,4.88,2.04,2.66,192.98,2.62,10.2
57.07,4.62,1.44,2.51,162.49,2.55,73.6
96.48,4.5,2.5,2.02,168.94,1.05,11
170.93,4.5,2.1,1.4,75.58,0.98,1.9
47.85,4.02,1.39,2.53,121.33,2.55,69.1
109.53,4.79,1.98,1.8,79.97,0.86,4.6
59.11,4.43,1.61,2.57,192.98,2.49,76.67
91.82,4.66,2.62,1.9,128.24,2.32,18
73.09,5.53,2.87,1.78,98.23,1.36,38.9
40.9,3.95,1.32,2.53,121.33,2.55,116.4
53.14,4.03,1.42,2.51,124.91,2.55,14
60.7,4.43,1.63,2.56,192.98,2.49,19
54.72,4.11,1.44,2.44,184.59,2.49,67
68.83,4.61,1.7,2.6,192.98,2.49,43.3
179.67,4.48,2.48,1.4,2.46,0.2,6.61
59.37,4.37,2.81,1.56,45.04,0.29,8.5
122.07,4.7,1.9,2.03,19.73,0.17,2.29
81.51,2.31,0.83,1.73,121.33,2.55,56.5
56.17,4.43,1.56,2.54,122.91,2.49,37
79.81,5.63,2.77,1.78,81.48,1.29,15.1
176,5.25,3.25,1.62,165.4,0.63,0.99
72.77,6.3,3.67,1.68,112.87,2.18,28.7
59.05,5.08,2.2,2.56,128.24,2.34,22
27.04,3.01,1.01,1.61,27.96,0.06,0.26
88.71,2.61,1.07,1.73,192.98,2.49,106
63.24,3.7,1.7,1.8,109.24,1.12,2.28
56.32,3.94,1.37,2.45,122.91,2.55,72
51.31,3.96,1.3,2.47,188.38,2.55,124
83.43,4.38,1.62,1.84,13.98,1.33,0.78
90.65,4.95,4.85,1.6,45.04,0.06,9.41
204.71,3.95,1.95,2.31,94.79,0.64,7.12
65.54,4.18,1.35,2.49,188.38,2.55,88.5
62.92,5.1,4.2,2.3,166.48,1.25,12
48.86,4.42,2.42,1.54,7.07,0.01,2.55
87.51,5.02,4.34,1.65,33.97,0.28,7.92
115.12,8.25,0.75,1.9,80.03,0.98,3.65
51.46,4.19,1.4,2.51,121.33,2.55,73
232.71,4.23,2.23,1.31,5.99,0.08,0.66
56.86,4.4,1.55,2.55,122.91,2.55,34.1
52.18,4.11,1.34,2.5,188.38,2.49,68
106.79,5.3,2.1,1.86,164.13,0.93,6.32
93.36,5.15,5.15,1.68,3.04,0.56,5.85
72.1,4.93,1.87,2.64,192.98,2.62,18.7
92.14,5.48,2.24,2.28,175.14,1.08,3.3
56.81,4.4,1.55,2.55,122.91,2.55,30
93.56,4.71,2.71,1.53,130.01,0.33,10.45
99.17,4.64,3.91,1.66,27.49,0.63,17.9
78.95,5.63,2.77,1.78,98.23,1.36,16
54.24,5.1,3.9,2.36,89.06,0.39,13.7
173.39,8.68,3.32,2.17,89.31,0.38,0.55
54,3.88,1.23,2.46,191.2,2.55,125
138.11,5.99,2.81,2.03,226.02,1.17,1.41
165.98,5,3.34,1.52,88.04,0.1,4.65
97.02,4.55,2.45,2.09,43.79,0.59,4.5
53.94,4.4,1.87,2.54,141.25,2.55,77
51.53,3.99,1.39,2.52,122.91,2.55,99
100.96,8.16,3.84,2.25,6.96,0.12,0.03
123.59,5.67,3.67,1.69,77.06,0.63,9.9
52.29,4,1.4,2.51,124.91,2.55,75
51.86,3.98,1.39,2.51,124.91,2.55,85.5
205.69,9,2.5,2.05,131.61,0.9,0.42
63.1,4.41,1.53,2.56,191.2,2.49,59.1
58.46,4.98,2.09,2.56,124.91,2.32,20.3
44.91,4.81,1.42,2.56,188.38,2.55,103.5
68.1,4.7,1.76,2.62,192.98,2.49,24
57.65,4.44,1.57,2.56,122.91,2.34,34
58.47,4.98,2.11,2.56,124.91,2.32,13
59.97,5.67,3,1.98,70.1,0.66,1.33
48.23,4.46,1.51,2.58,124.12,2.49,41
56.31,4.42,1.55,2.55,122.91,2.49,16.1
34.87,5,2.25,2.63,76.91,2.62,1
56.67,4.41,1.55,2.55,122.91,2.55,25.4
99.74,5.64,2.36,2.55,192.98,1.96,3
75.76,4.3,1.37,2.52,188.38,2.55,64.9
47.73,3.93,1.4,2.54,121.33,2.55,81.2
133.4,6.13,1.8,1.93,122.45,1.18,0.95
145.29,5,3.81,1.54,88.04,0.1,5.72
57.37,4.88,1.46,2.52,151.26,2.55,81
57.04,4.42,1.61,2.57,192.98,2.49,73
89.14,6,0.8,1.87,33.79,1.25,3.12
57.69,4.4,1.63,2.58,192.98,2.49,93.5
111.87,4.6,4.15,1.82,104.06,0.94,9.5
122.02,7.33,1.37,2.13,88.66,0.18,1.71
99.2,2.83,1.23,1.66,192.98,2.49,74
15.51,2.83,0.83,1.88,13.49,1.24,28.3
206.99,3.93,1.93,2.28,2.82,0.71,6.98
104.74,4.8,1.66,1.93,61.94,1.45,3.36
186.67,7.12,4.88,1.93,4.02,0.3,1.79
36.86,4.02,1.42,2.5,71.62,2.49,71
73.81,3.89,1.14,2.43,184.59,2.55,70.3
91.03,4.79,1.95,1.8,164.13,0.93,7.69
87.83,6.18,2.86,2.39,192.98,2.84,5.58
57.46,6.5,2.5,2.42,90.89,0.27,3.4
57.85,4.91,1.38,2.51,152.94,2.55,87.2
59.9,4.5,3,1.58,45.04,0.09,7.3
21.13,4.79,1.84,2.56,57.93,2.51,4.7
65.86,6.09,3.88,2.28,119.9,2.58,7.94
83.2,5.24,2,2.25,159.33,1.01,3.6
83.4,5.3,1.9,2.4,192.98,2.88,3.1
89.85,6,0.82,1.87,122.45,1.33,3.16
56.81,4.41,1.55,2.55,122.91,2.49,34.8
56.42,4.41,1.55,2.55,122.91,2.49,12
85.85,7.02,3.02,2.01,71.75,0.72,6
211.98,6.29,4,1.44,182.18,0.45,1
66.09,4.87,1.93,2.64,192.98,2.62,1.88
63.5,6.25,0.75,1.21,146.07,1.61,0.94
73.76,3.93,1.15,2.46,184.59,2.55,97
53.39,4.24,1.5,2.54,192.98,2.49,106.9
68.19,4.75,3.75,1.98,80.9,0.95,2
56.88,4.24,1.52,2.55,192.98,2.49,24
76.34,5.57,2.83,1.78,114.34,1.29,5.3
48.19,4.25,1.52,2.65,122.91,2.55,40
51.27,4.67,2.66,1.65,51.93,1.25,18.8
61.66,5.97,3.1,2.57,141.25,2.32,0.01
126.54,6.75,0.75,1.87,72.07,0.9,2.86
51.28,4.64,1.7,2.57,128.24,2.49,31.7
